best_practices,best_practices,0.5001727,20000,200,200
code_structure,best_practices,3.754943e-11,1091.5,35,200
concurrency,best_practices,0.5187781,405,4,200
documentation_conventions,best_practices,4.086742e-18,6853.5,148,200
error_handling,best_practices,1.513949e-08,35151,481,200
interface,best_practices,3.672816e-07,13423,189,200
logic,best_practices,1.092971e-12,25285.5,390,200
metric,best_practices,0.09623005,61048.5,650,200
migration,best_practices,0.5477014,413.5,4,200
naming_conventions,best_practices,0.9999938,41291,337,200
object_oriented_design,best_practices,2.528859e-06,259,12,200
redundancies,best_practices,2.306923e-05,25549,324,200
regular_expressions,best_practices,1.591533e-41,36913,747,200
resource,best_practices,0.0008629674,9148.5,116,200
simplifications,best_practices,0.1112069,1396.5,17,200
style_conventions,best_practices,4.451407e-21,40854.5,718,200
tool_specific,best_practices,0.0001926048,2977.5,45,200
best_practices,code_structure,1,5908.5,200,35
code_structure,code_structure,0.5058271,612.5,35,35
concurrency,code_structure,0.9999999,140,4,35
documentation_conventions,code_structure,0.9307307,2987.5,148,35
error_handling,code_structure,1,14665,481,35
interface,code_structure,0.997229,4270,189,35
logic,code_structure,0.9997772,9252.5,390,35
metric,code_structure,1,17456.5,650,35
migration,code_structure,0.9999999,140,4,35
naming_conventions,code_structure,1,10475.5,337,35
object_oriented_design,code_structure,5.962528e-09,22,12,35
redundancies,code_structure,0.9999999,8722,324,35
regular_expressions,code_structure,1,25798.5,747,35
resource,code_structure,1,3485,116,35
simplifications,code_structure,0.9999996,511.5,17,35
style_conventions,code_structure,0.9999999,19026,718,35
tool_specific,code_structure,0.9635605,964,45,35
best_practices,concurrency,0.4846342,395,200,4
code_structure,concurrency,1.490669e-07,0,35,4
concurrency,concurrency,0.561945,8,4,4
documentation_conventions,concurrency,0.01396204,108.5,148,4
error_handling,concurrency,0.2635129,785,481,4
interface,concurrency,0.06959461,215,189,4
logic,concurrency,0.09425025,483.5,390,4
metric,concurrency,0.4012771,1205.5,650,4
migration,concurrency,0.5580737,8,4,4
naming_conventions,concurrency,0.654823,751.5,337,4
object_oriented_design,concurrency,0.0005171579,0,12,4
redundancies,concurrency,0.1314446,437,324,4
regular_expressions,concurrency,0.4315044,1450,747,4
resource,concurrency,0.3064987,197,116,4
simplifications,concurrency,0.1954925,24,17,4
style_conventions,concurrency,0.121723,951.5,718,4
tool_specific,concurrency,0.07795949,51.5,45,4
best_practices,documentation_conventions,1,22746.5,200,148
code_structure,documentation_conventions,0.06976634,2192.5,35,148
concurrency,documentation_conventions,0.9864511,483.5,4,148
documentation_conventions,documentation_conventions,0.5002771,10952,148,148
error_handling,documentation_conventions,1,53375,481,148
interface,documentation_conventions,0.9984427,16581,189,148
logic,documentation_conventions,0.9999619,35182,390,148
metric,documentation_conventions,1,68408.5,650,148
migration,documentation_conventions,0.9947109,513,4,148
naming_conventions,documentation_conventions,1,41165.5,337,148
object_oriented_design,documentation_conventions,0.0005827353,396,12,148
redundancies,documentation_conventions,1,32614.5,324,148
regular_expressions,documentation_conventions,1,89457.5,747,148
